# Mediçao de tempo de algoritmos de busca (WORST CASE): 
#Tamanho       LSearch        BSearch        BSearch_Rec    LBound         UBound         TSearch        ISearch        ESearch        
2710000        521034.28      118.32         130.33         121.18         123.91         115.32         139.48         124.88         
2720000        520881.77      125.09         137.31         115.17         119.43         113.01         136.06         132.15         
2730000        527257.04      122.58         125.99         120.97         122.02         116.29         123.63         115.38         
2740000        528361.79      122.36         130.54         119.01         131.94         126.20         119.85         119.58         
2750000        530470.84      124.88         133.61         125.37         119.43         116.71         113.92         117.54         
2760000        493244.45      128.02         132.84         125.23         123.97         116.14         117.69         129.35         
2770000        399858.44      125.44         133.26         134.94         119.22         117.62         121.81         127.54         
2780000        409875.41      123.41         132.91         152.89         124.60         115.38         121.81         120.14         
2790000        414905.06      117.48         132.57         128.93         118.60         122.02         118.11         119.58         
2800000        549864.53      136.05         129.14         136.34         123.06         120.83         130.82         138.36         
2810000        436704.19      128.73         131.59         123.14         117.89         123.00         120.13         126.77         
2820000        539727.36      136.06         131.17         124.88         131.44         124.67         126.14         119.30         
2830000        536044.33      137.80         138.85         118.80         124.32         130.47         123.83         122.99         
2840000        545304.16      144.02         130.33         118.04         115.32         130.82         129.98         121.04         
2850000        553861.27      133.47         130.90         117.69         122.09         117.06         122.23         119.22         
2860000        556181.99      134.52         128.45         120.34         135.92         122.50         117.83         117.90         
2870000        551637.27      117.90         131.24         121.53         120.97         126.00         121.95         116.71         
2880000        554083.89      129.35         130.76         121.53         126.70         121.94         120.62         119.02         
2890000        553133.92      200.32         130.75         115.80         115.80         123.42         124.04         120.55         
2900000        554501.99      126.63         134.66         113.91         116.85         124.04         119.92         127.74         
2910000        557109.64      135.92         147.09         113.71         121.67         120.48         123.77         119.30         
2920000        556247.89      121.67         150.72         114.69         119.65         124.67         121.74         128.79         
2930000        559005.67      112.03         118.31         113.08         121.53         122.65         117.34         137.87         
2940000        559153.38      110.91         116.08         122.78         134.31         120.13         123.28         129.28         
2950000        562147.08      113.64         123.69         132.63         126.63         118.10         192.35         117.06         
2960000        564516.88      122.79         154.98         122.72         117.75         120.97         148.00         122.57         
2970000        568269.12      121.39         142.56         115.38         124.46         115.80         136.12         124.68         
2980000        569870.52      114.61         133.75         129.49         128.51         123.83         127.54         121.11         
2990000        569118.02      111.40         141.23         140.66         127.82         123.90         119.78         125.72         
3000000        570975.40      124.81         129.00         125.80         120.76         122.02         138.50         135.29         
3010000        573008.61      113.50         123.69         128.03         130.75         124.68         123.69         122.44         
